term,query,off_topic,covid
cashiers,certified cashiers check,1,
cashiers,credit union,1,
cashiers,cashiers near me,,
cashiers,walmart cashiers,,
cashiers,what is cashiers check,1,
cashiers,bank,1,
casino workers,Hotel,,
casino workers,Health care,,
casino workers,Workers' compensation,,relief
casino workers,Key worker,,essential
casino workers,Unemployment,,relief
casino workers,Wage,,
casino workers,Worker,,
casino workers,Resort,,
casino workers,Nevada,,
casino workers,Trade union,,
casino workers,Lawyer,,
casino workers,Las Vegas,,
casino workers,Salary,,
casino workers,Average,,
casino workers,Floor,,
casino workers,what casino workers are always dealing with,1,
casino workers,casino workers test positive,,exposure
casino workers,how much do philadelphia parking authority workers make,1,
childcare workers,Wage,,
childcare workers,Tennessee,,
childcare workers,Training,,
childcare workers,Salary,,
childcare workers,employer,,
childcare workers,Google Slides,1,
childcare workers,Education,,
childcare workers,Family,,
childcare workers,Teacher,,
childcare workers,Policy,,
childcare workers,Worker,,
childcare workers,Career,,
childcare workers,Skill,,
childcare workers,Childcare Worker,,
childcare workers,Bachelor's degree,,
childcare workers,Fire safety,,
childcare workers,License,,
childcare workers,Early childhood education,,
childcare workers,Workers' compensation,,
childcare workers,Immunization,,
childcare workers,Course,,
childcare workers,childcare for essential workers,,
childcare workers,ymca essential workers childcare,,
childcare workers,ymca childcare for essential workers,,
cinematographers,Female,,
cinematographers,Film director,,
cinematographers,International Cinematographers,,
cinematographers,famous,,
cinematographers,African Americans,,
cinematographers,International Cinematographers Guild,,
cinematographers,American Society of Cinematographers,,
cinematographers,Camera,,
cinematographers,Crossword,1,
cinematographers,Academy Award for Best Cinematography,,
cinematographers,Award,,
cinematographers,Trade union,,
cinematographers,Academy Awards,,
cinematographers,Wedding,,
cinematographers,Photography,,
cinematographers,cinematographer,,
cinematographers,cinematography,,
cinematographers,american society of cinematographers,,
cinematographers,cinematographers guild,,
cinematographers,famous cinematographers,,
cinematographers,wedding cinematographers,,
cinematographers,top cinematographers,,
cooks,Cooks,,
cooks,Cook Children's Medical Center,1,
cooks,Cook Forest State Park Office,1,
cooks,Kitchen,,
cooks,Air fryer,,
cooks,Deep fryer,,
cooks,Brandin Cooks,1,
cooks,Cook's Essentials,,
cooks,Too Many Cooks,,
cooks,New England Patriots,1,
